,city,date,precipitation,precipitation_type,severe_risk
162,New York,7/10/23,0.001,['rain'],10
163,New York,7/11/23,0.009,['rain'],10
164,New York,7/12/23,0.009,['rain'],10
165,New York,7/13/23,0,,60
166,New York,7/14/23,0.021,['rain'],60
167,New York,7/15/23,0.013,['rain'],60
168,New York,7/16/23,0.485,['rain'],60
169,New York,7/17/23,0,,30
170,New York,7/18/23,0.02,['rain'],60
171,New York,7/19/23,0.004,['rain'],60
172,New York,7/20/23,0.018,['rain'],30
173,New York,7/21/23,0.035,['rain'],30
174,New York,7/22/23,0.037,['rain'],10
175,New York,7/23/23,0,,10
176,New York,7/24/23,0,,30
177,New York,7/25/23,0.046,['rain'],30
178,New York,7/26/23,0.009,['rain'],10
179,New York,7/27/23,0.016,['rain'],60
180,New York,7/28/23,0.009,['rain'],30
181,New York,7/29/23,0.003,['rain'],30
182,New York,7/30/23,0,,10
183,New York,7/31/23,0.018,['rain'],30
184,Los Angeles,5/1/23,0.042,['rain'],10
185,Los Angeles,5/2/23,0,,10
186,Los Angeles,5/3/23,0,,10
187,Los Angeles,5/4/23,0.381,['rain'],10
188,Los Angeles,5/5/23,0.006,['rain'],10
189,Los Angeles,5/6/23,0,,10
190,Los Angeles,5/7/23,0,,10
191,Los Angeles,5/8/23,0,,10
192,Los Angeles,5/9/23,0,,10
193,Los Angeles,5/10/23,0,,10
194,Los Angeles,5/11/23,0,,10
195,Los Angeles,5/12/23,0,,10
196,Los Angeles,5/13/23,0,,10
197,Los Angeles,5/14/23,0,,10
198,Los Angeles,5/15/23,0,,10
199,Los Angeles,5/16/23,0,,10
200,Los Angeles,5/17/23,0,,10
201,Los Angeles,5/18/23,0,,10
202,Los Angeles,5/19/23,0,,10
203,Los Angeles,5/20/23,0,,10
204,Los Angeles,5/21/23,0,,10
205,Los Angeles,5/22/23,0,,10
206,Los Angeles,5/23/23,0.011,['rain'],10
207,Los Angeles,5/24/23,0,,10
